original_index,Municipio,Presidente Municipal,Inicio,Conclusión,full_code,firstname,lastname1,lastname2
190,Hecelchakán,JOSE LUIS MONTERO ROSADO,2006-10-01,2009-09-30,4005,Jose Luis,Montero,Rosado
191,Hecelchakán,MODESTO ARCANGEL PECH UITZ,2009-10-01,2018-09-30,4005,Modesto Arcangel,Pech,Uitz
193,Hecelchakán,JOSE DOLORES BRITO PECH,2018-10-01,2024-09-30,4005,Jose Dolores,Brito,Pech
194,Hecelchakán,JOSÉ CEVASTIAN YAM POOT,2024-10-01,2024-09-30,4005,José Cevastian,Yam,Poot
195,Hecelchakán,JOSE CEVASTIAN YAM POOT,2024-10-01,2027-09-30,4005,Jose Cevastian,Yam,Poot
196,Hopelchén,JORGE LARA LOPEZ,2000-10-01,2003-09-30,4006,Jorge,Lara,Lopez
197,Hopelchén,NIDIA MILDRED YEH PANTI,2003-10-01,2006-09-30,4006,Nidia Mildred,Yeh,Panti
198,Hopelchén,JULIO ALBERTO SANSORES SANSORES,2006-10-01,2009-09-30,4006,Julio Alberto,Sansores,Sansores
199,Hopelchén,HEBERT RAFAEL INFANTE YEH,2009-10-01,2012-09-30,4006,Hebert Rafael,Infante,Yeh
200,Hopelchén,ALONSO JULIAN PACHECO UCAN,2012-10-01,2015-09-30,4006,Alonso Julian,Pacheco,Ucan
201,Hopelchén,JOSE IGNACIO ESPAÑA NOVELO,2015-10-01,2018-09-30,4006,Jose Ignacio,España,Novelo
202,Hopelchén,SANDY ARELI BAAS CAUICH,2018-10-01,2021-09-30,4006,Sandy Areli,Baas,Cauich
203,Hopelchén,EMILIO LARA CALDERON,2021-10-01,2024-09-30,4006,Emilio,Lara,Calderon
204,Hopelchén,HIRAM ARANDA CALDERÓN,2024-10-01,2024-09-30,4006,Hiram,Aranda,Calderón
205,Hopelchén,HIRAM ARANDA CALDERON,2024-10-01,2027-09-30,4006,Hiram,Aranda,Calderon
206,Palizada,JAVIER ZAVALA BALLONA,2000-10-01,2003-09-30,4007,Javier,Zavala,Ballona
207,Palizada,DEYRO CAMARA DAMAS,2003-10-01,2006-09-30,4007,Deyro,Camara,Damas
208,Palizada,LUIS AYALA MENENDEZ,2006-10-01,2009-09-30,4007,Luis,Ayala,Menendez
209,Palizada,RAUL DEL RIVERO QUINTERO,2012-10-01,2015-09-30,4007,Raul Del,Rivero,Quintero
210,Palizada,PEDRO JAVIER AYALA CAMARA,2015-10-01,2018-09-30,4007,Pedro Javier,Ayala,Camara
211,Palizada,MARITZA DIAZ DOMINGUEZ,2018-10-01,2021-09-30,4007,Maritza,Diaz,Dominguez
